team,salary,player,position,season
Houston Rockets,4903000,Cuttino Mobley, SG,2002-2003
Washington Wizards,4903000,Jahidi White, C,2002-2003
Seattle SuperSonics,4903000,Rashard Lewis, PF,2002-2003
LA Clippers,4895000,Elton Brand, PF,2002-2003
Sacramento Kings,4827000,Scot Pollard, C,2002-2003
Indiana Pacers,4800000,Brad Miller, C,2002-2003
New Orleans Hornets,3726000,Robert Traylor, PF,2002-2003
Memphis Grizzlies,3656000,Stromile Swift, PF,2002-2003
Miami Heat,3656000,Anthony Carter, PG,2002-2003
New Orleans Hornets,3600000,David Wesley, SG,2002-2003
Detroit Pistons,3600000,Chucky Atkins, PG,2002-2003
Houston Rockets,3600000,Moochie Norris, PG,2002-2003
Minnesota Timberwolves,3575000,Marc Jackson, PF,2002-2003
LA Clippers,3557000,Lamar Odom, PF,2002-2003
Memphis Grizzlies,3425000,Jason Williams, PG,2002-2003
Portland Trail Blazers,3375000,Antonio Daniels, PG,2002-2003
Miami Heat,3300000,LaPhonso Ellis, F,2002-2003
Sacramento Kings,3300000,Lawrence Funderburke, PF,2002-2003
Cleveland Cavaliers,3267000,Darius Miles, SF,2002-2003
Orlando Magic,3263000,Andrew DeClercq, C,2002-2003
Indiana Pacers,3226000,Jonathan Bender, SF,2002-2003
Minnesota Timberwolves,3220000,Anthony Peeler, SG,2002-2003
Memphis Grizzlies,3194000,Pau Gasol, C,2002-2003
Detroit Pistons,3175000,Jon Barry, SG,2002-2003
Washington Wizards,3159000,Larry Hughes, SG,2002-2003
Dallas Mavericks,3104000,Evan Eschmeyer, C,2002-2003
Los Angeles Lakers,3.00E+06,Derek Fisher, PG,2002-2003
Toronto Raptors,3.00E+06,Lindsey Hunter, SG,2002-2003
Orlando Magic,2962000,Chris Whitney, PG,2002-2003
Chicago Bulls,2946000,Marcus Fizer, F,2002-2003
Minnesota Timberwolves,2933000,Wally Szczerbiak, SG,2002-2003
Dallas Mavericks,2923000,Dirk Nowitzki, PF,2002-2003
Boston Celtics,2813000,Mikki Moore, C,2002-2003
Boston Celtics,2793000,Paul Pierce, SF,2002-2003
Portland Trail Blazers,2777000,Bonzi Wells, SG,2002-2003
Atlanta Hawks,2775000,Matt Maloney, G,2002-2003
New York Knicks,2753000,Michael Doleac, C,2002-2003
Atlanta Hawks,2750000,Chris Crawford, SF,2002-2003
Sacramento Kings,2726000,Keon Clark, PF,2002-2003
Cleveland Cavaliers,2700000,Bimbo Coles, PG,2002-2003
Phoenix Suns,2700000,Randy Brown, G,2002-2003
New York Knicks,2700000,Othella Harrington, PF,2002-2003
Sacramento Kings,2700000,Bobby Jackson, PG,2002-2003
Memphis Grizzlies,2699000,Michael Dickerson, G,2002-2003
Detroit Pistons,2681000,Richard Hamilton, SG,2002-2003
Memphis Grizzlies,2668000,Mike Miller, SG,2002-2003
Utah Jazz,2667000,Matt Harpring, SF,2002-2003
Orlando Magic,2662000,Horace Grant, C,2002-2003
LA Clippers,2640000,Sean Rooks, C,2002-2003
New Jersey Nets,2640000,Lucious Harris, SG,2002-2003
Detroit Pistons,2631000,Hubert Davis, SG,2002-2003
San Antonio Spurs,2625000,Steve Kerr, G,2002-2003
Detroit Pistons,2600000,Michael Curry, SF,2002-2003
New Orleans Hornets,2600000,George Lynch, SF,2002-2003
LA Clippers,2460000,Andre Miller, PG,2002-2003
Minnesota Timberwolves,2436000,Rasho Nesterovic, C,2002-2003
New Orleans Hornets,2400000,Stacey Augmon, SF,2002-2003
Utah Jazz,2393000,John Amaechi, PF,2002-2003
Memphis Grizzlies,2368000,Shane Battier, SF,2002-2003
Phoenix Suns,2265000,Shawn Marion, SG,2002-2003
Orlando Magic,2238000,Pat Garrity, PF,2002-2003
Cleveland Cavaliers,2222000,Chris Mihm, C,2002-2003
Houston Rockets,2162000,Eddie Griffin, PF,2002-2003
Cleveland Cavaliers,2156000,Ricky Davis, SG,2002-2003
Atlanta Hawks,2153000,Jason Terry, G,2002-2003
Philadelphia 76ers,2148000,Brian Skinner, PF,2002-2003
Indiana Pacers,2110000,Al Harrington, PF,2002-2003
LA Clippers,2069000,Corey Maggette, SF,2002-2003
Chicago Bulls,2026000,Jamal Crawford, SG,2002-2003
Denver Nuggets,1987000,Shammond Williams, PG,2002-2003
Cleveland Cavaliers,1980000,DeSagana Diop, C,2002-2003
Indiana Pacers,1904000,Metta World Peace, SF,2002-2003
Washington Wizards,1885000,Tyronn Lue, PG,2002-2003
Milwaukee Bucks,1862000,Joel Przybilla, C,2002-2003
Denver Nuggets,1821000,Rodney White, SF,2002-2003
LA Clippers,1769000,Keyon Dooling, PG,2002-2003
Phoenix Suns,1729000,Joe Johnson, G,2002-2003
Houston Rockets,1723000,James Posey, SF,2002-2003
New Orleans Hornets,1681000,Jerome Moiso, C,2002-2003
Detroit Pistons,1650000,Danny Manning, F,2002-2003
Boston Celtics,1643000,Kedrick Brown, SG,2002-2003
Utah Jazz,1636000,Tony Massenburg, PF,2002-2003
Washington Wizards,1605000,Etan Thomas, C,2002-2003
Atlanta Hawks,1584000,Dion Glover, SG,2002-2003
Indiana Pacers,1571000,Jeff Foster, PF,2002-2003
Seattle SuperSonics,1561000,Vladimir Radmanovic, SF,2002-2003
Philadelphia 76ers,1557000,Kenny Thomas, PF,2002-2003
Los Angeles Lakers,1542000,Devean George, SF,2002-2003
Los Angeles Lakers,1540000,Samaki Walker, PF,2002-2003
New Orleans Hornets,1524000,Courtney Alexander, SG,2002-2003
New Jersey Nets,1482000,Richard Jefferson, F,2002-2003
Sacramento Kings,1441000,Mateen Cleaves, PG,2002-2003
Cleveland Cavaliers,1419000,Jumaine Jones, SF,2002-2003
Utah Jazz,1410000,Scott Padgett, PF,2002-2003
Golden State Warriors,1409000,Troy Murphy, PF,2002-2003
Los Angeles Lakers,1400000,Brian Shaw, G,2002-2003
Chicago Bulls,1400000,Corie Blount, PF,2002-2003
Philadelphia 76ers,1400000,Monty Williams, SF,2002-2003
Houston Rockets,1376000,Jason Collier, C,2002-2003
Sacramento Kings,1300000,Hedo Turkoglu, SF,2002-2003
New Orleans Hornets,1300000,Bryce Drew, PG,2002-2003
New Orleans Hornets,1271000,Kirk Haston, F,2002-2003
Seattle SuperSonics,1235000,Desmond Mason, SF,2002-2003
Toronto Raptors,1208000,Michael Bradley, PF,2002-2003
LA Clippers,1174000,Quentin Richardson, SF,2002-2003
New Jersey Nets,1147000,Jason Collins, C,2002-2003
New Orleans Hornets,1126000,Jamaal Magloire, C,2002-2003
Detroit Pistons,1100000,Don Reid, F,2002-2003
San Antonio Spurs,1100000,Danny Ferry, F,2002-2003
Philadelphia 76ers,1100000,Mark Bryant, F,2002-2003
Portland Trail Blazers,1096000,Zach Randolph, PF,2002-2003
San Antonio Spurs,1081000,Speedy Claxton, PG,2002-2003
Toronto Raptors,1033000,Morris Peterson, SG,2002-2003
Washington Wizards,1030000,Michael Jordan, G,2002-2003
Seattle SuperSonics,1009000,Joseph Forte, G,2002-2003
San Antonio Spurs,1.00E+06,Kevin Willis, C,2002-2003
Denver Nuggets,992000,Donnell Harvey, PF,2002-2003
Orlando Magic,969000,Jeryl Sasser, G,2002-2003
Utah Jazz,956000,DeShawn Stevenson, SG,2002-2003
New Jersey Nets,930000,Brandon Armstrong, SG,2002-2003
Chicago Bulls,914000,Dalibor Bagaric, C,2002-2003
Utah Jazz,893000,Andrei Kirilenko, SF,2002-2003
Phoenix Suns,877000,Jake Tsakalidis, C,2002-2003
Toronto Raptors,852000,Mamadou N'diaye, C,2002-2003
San Antonio Spurs,824000,Bruce Bowen, SF,2002-2003
LA Clippers,824000,Cherokee Parks, PF,2002-2003
Atlanta Hawks,824000,Emanual Davis, G,2002-2003
Los Angeles Lakers,817000,Mark Madsen, PF,2002-2003
Indiana Pacers,805000,Jamaal Tinsley, PG,2002-2003
Indiana Pacers,805000,Primoz Brezec, C,2002-2003
San Antonio Spurs,8.00E+05,Tony Parker, PG,2002-2003
Cleveland Cavaliers,749000,Milt Palacio, PG,2002-2003
Sacramento Kings,714000,Gerald Wallace, SF,2002-2003
Orlando Magic,7.00E+05,Jacque Vaughn, PG,2002-2003
Golden State Warriors,7.00E+05,Earl Boykins, PG,2002-2003
Miami Heat,637000,Vladimir Stepania, C,2002-2003
Denver Nuggets,637000,Mark Blount, C,2002-2003
Atlanta Hawks,612000,Amal McCaskill, C,2002-2003
Portland Trail Blazers,612000,Charles Smith, SG,2002-2003
Phoenix Suns,587000,Jake Voskuhl, C,2002-2003
San Antonio Spurs,587000,Stephen Jackson, SF,2002-2003
Denver Nuggets,587000,Ryan Bowen, SF,2002-2003
Orlando Magic,587000,Olumide Oyedeji, C,2002-2003
Seattle SuperSonics,526000,Predrag Drobnjak, C,2002-2003
Chicago Bulls,512000,Trenton Hassell, SF,2002-2003
Toronto Raptors,512000,Damone Brown, PF,2002-2003
Golden State Warriors,512000,Gilbert Arenas, PG,2002-2003
Denver Nuggets,512000,Jeff Trepagnier, SG,2002-2003
New Jersey Nets,512000,Brian Scalabrine, PF,2002-2003
Minnesota Timberwolves,2.80E+07,Kevin Garnett, PF,2003-2004
Dallas Mavericks,13500000,Antoine Walker, PF,2003-2004
Phoenix Suns,13500000,Stephon Marbury, PG,2003-2004
Dallas Mavericks,13281000,Michael Finley, SG,2003-2004
New York Knicks,13280000,Keith Van Horn, PF,2003-2004
San Antonio Spurs,13279000,Tim Duncan, C,2003-2004
Orlando Magic,13279000,Tracy McGrady, SG,2003-2004
Toronto Raptors,13279000,Jalen Rose, SG,2003-2004
Miami Heat,12320000,Eddie Jones, SG,2003-2004
Miami Heat,12234000,Brian Grant, PF,2003-2004
Sacramento Kings,12051000,Vlade Divac, C,2003-2004
Los Angeles Lakers,26571000,Shaquille O'Neal, C,2003-2004
Toronto Raptors,1.20E+07,Antonio Davis, PF,2003-2004
Toronto Raptors,11953000,Vince Carter, SF,2003-2004
New York Knicks,11825000,Tim Thomas, PF,2003-2004
Utah Jazz,11668000,Tom Gugliotta, PF,2003-2004
New Jersey Nets,10950000,Jason Kidd, PG,2003-2004
Golden State Warriors,10912000,Nick Van Exel, PG,2003-2004
Philadelphia 76ers,10730000,Glenn Robinson, SF,2003-2004
Portland Trail Blazers,10156000,Theo Ratliff, C,2003-2004
LA Clippers,9600000,Glen Rice, SF,2003-2004
New Jersey Nets,9267000,Kerry Kittles, SG,2003-2004
Portland Trail Blazers,1.80E+07,Rasheed Wallace, PF,2003-2004
Utah Jazz,8666000,Greg Ostertag, C,2003-2004
New Orleans Hornets,8525000,Jamal Mashburn, SF,2003-2004
Milwaukee Bucks,8050000,Toni Kukoc, SF,2003-2004
Houston Rockets,7800000,Maurice Taylor, PF,2003-2004
Portland Trail Blazers,7794000,Derek Anderson, SG,2003-2004
Memphis Grizzlies,7700000,Wesley Person, SF,2003-2004
Atlanta Hawks,7682000,Alan Henderson, PF,2003-2004
Indiana Pacers,7610000,Austin Croshere, PF,2003-2004
Golden State Warriors,7482000,Erick Dampier, C,2003-2004
Houston Rockets,7344000,Kelvin Cato, C,2003-2004
New York Knicks,17895000,Dikembe Mutombo, C,2003-2004
Denver Nuggets,7250000,Marcus Camby, C,2003-2004
New York Knicks,15937000,Allan Houston, SG,2003-2004
Sacramento Kings,15937000,Chris Webber, C,2003-2004
Portland Trail Blazers,14625000,Damon Stoudamire, PG,2003-2004
Seattle SuperSonics,13500000,Ray Allen, SG,2003-2004
Minnesota Timberwolves,13500000,Latrell Sprewell, SG,2003-2004
San Antonio Spurs,7169000,Ron Mercer, SG,2003-2004
New York Knicks,6700000,Shandon Anderson, SF,2003-2004
Memphis Grizzlies,6600000,Lorenzen Wright, PF,2003-2004
Washington Wizards,6500000,Jerry Stackhouse, SF,2003-2004
LA Clippers,6364000,Elton Brand, PF,2003-2004
Sacramento Kings,6250000,Doug Christie, SG,2003-2004
Sacramento Kings,6250000,Peja Stojakovic, SF,2003-2004
Chicago Bulls,6246000,Eddie Robinson, SF,2003-2004
Detroit Pistons,6166000,Bob Sura, PG,2003-2004
San Antonio Spurs,6030000,Charlie Ward, PG,2003-2004
Memphis Grizzlies,5955000,Bo Outlaw, PF,2003-2004
Phoenix Suns,5843000,Howard Eisley, PG,2003-2004
Dallas Mavericks,5750000,Steve Nash, PG,2003-2004
Houston Rockets,5720000,Steve Francis, PG,2003-2004
Seattle SuperSonics,5715000,Vitaly Potapenko, C,2003-2004
New York Knicks,5700000,Nazr Mohammed, C,2003-2004
Cleveland Cavaliers,5560000,Eric Williams, PF,2003-2004
Washington Wizards,5526000,Christian Laettner, PF,2003-2004
Toronto Raptors,5500000,Alvin Williams, PG,2003-2004
Detroit Pistons,5500000,Ben Wallace, PF,2003-2004
Portland Trail Blazers,5447000,Ruben Patterson, PF,2003-2004
Seattle SuperSonics,5446000,Calvin Booth, C,2003-2004
Milwaukee Bucks,5445000,Joe Smith, PF,2003-2004
New York Knicks,5445000,Clarence Weatherspoon, PF,2003-2004
Golden State Warriors,5445000,Avery Johnson, PG,2003-2004
Dallas Mavericks,5428000,Danny Fortson, C,2003-2004
Toronto Raptors,5400000,Jerome Williams, PF,2003-2004
Seattle SuperSonics,5400000,Brent Barry, SG,2003-2004
Washington Wizards,5394000,Jahidi White, C,2003-2004
New York Knicks,5394000,Kurt Thomas, PF,2003-2004
Houston Rockets,5393000,Cuttino Mobley, SG,2003-2004
Indiana Pacers,5310000,Scot Pollard, C,2003-2004
San Antonio Spurs,5300000,Robert Horry, PF,2003-2004
Dallas Mavericks,5194000,Shawn Bradley, C,2003-2004
New Orleans Hornets,5173000,Baron Davis, PG,2003-2004
New Jersey Nets,5128000,Kenyon Martin, PF,2003-2004
Washington Wizards,5062000,Brevin Knight, PG,2003-2004
Detroit Pistons,5.00E+06,Corliss Williamson, PF,2003-2004
Philadelphia 76ers,5.00E+06,Aaron McKie, SG,2003-2004
Miami Heat,4692000,Lamar Odom, PF,2003-2004
Sacramento Kings,3600000,Lawrence Funderburke, PF,2003-2004
New York Knicks,3600000,Moochie Norris, PG,2003-2004
Detroit Pistons,3596000,Richard Hamilton, SG,2003-2004
Memphis Grizzlies,3417000,Pau Gasol, C,2003-2004
Memphis Grizzlies,3380000,Mike Miller, SG,2003-2004
Denver Nuggets,3317000,Andre Miller, PG,2003-2004
Detroit Pistons,3300000,Lindsey Hunter, SG,2003-2004
Washington Wizards,3259000,Chris Whitney, PG,2003-2004
New York Knicks,3087000,DerMarr Johnson, SF,2003-2004
Phoenix Suns,3069000,Shawn Marion, SG,2003-2004
Los Angeles Lakers,3.00E+06,Derek Fisher, PG,2003-2004
Atlanta Hawks,3.00E+06,Chris Crawford, SF,2003-2004
Atlanta Hawks,2933000,Jason Terry, G,2003-2004
Miami Heat,2925000,Bimbo Coles, PG,2003-2004
New Jersey Nets,2925000,Aaron Williams, C,2003-2004
New York Knicks,2925000,Othella Harrington, PF,2003-2004
Dallas Mavericks,2925000,Tony Delk, PG,2003-2004
Sacramento Kings,2925000,Bobby Jackson, PG,2003-2004
Los Angeles Lakers,2903000,Horace Grant, C,2003-2004
New Jersey Nets,2894000,Hubert Davis, SG,2003-2004
LA Clippers,2862000,Corey Maggette, SF,2003-2004
Memphis Grizzlies,4614000,Stromile Swift, PF,2003-2004
Houston Rockets,4580000,Mark Jackson, PG,2003-2004
Los Angeles Lakers,4549000,Rick Fox, SF,2003-2004
Toronto Raptors,4500000,Lamond Murray, SF,2003-2004
Philadelphia 76ers,4500000,Eric Snow, PG,2003-2004
Cleveland Cavaliers,4480000,Michael Stewart, PF,2003-2004
Cleveland Cavaliers,4400000,Tony Battie, C,2003-2004
Golden State Warriors,4400000,Adonal Foyle, C,2003-2004
Indiana Pacers,4278000,Jonathan Bender, SF,2003-2004
Washington Wizards,4252000,Kwame Brown, C,2003-2004
Detroit Pistons,4200000,Zeljko Rebraca, C,2003-2004
Portland Trail Blazers,4130000,Darius Miles, SF,2003-2004
San Antonio Spurs,4063000,Anthony Carter, PG,2003-2004
New Orleans Hornets,3960000,David Wesley, SG,2003-2004
Minnesota Timberwolves,3912000,Wally Szczerbiak, SG,2003-2004
Detroit Pistons,3900000,Chucky Atkins, PG,2003-2004
Philadelphia 76ers,3900000,Marc Jackson, PF,2003-2004
Chicago Bulls,3726000,Marcus Fizer, F,2003-2004
Orlando Magic,3625000,Andrew DeClercq, C,2003-2004
Cleveland Cavaliers,2823000,Chris Mihm, C,2003-2004
Toronto Raptors,2800000,Michael Curry, SF,2003-2004
New Orleans Hornets,2800000,George Lynch, SF,2003-2004
Indiana Pacers,2676000,Metta World Peace, SF,2003-2004
New York Knicks,2610000,John Amaechi, PF,2003-2004
Chicago Bulls,2577000,Jamal Crawford, SG,2003-2004
Memphis Grizzlies,2533000,Shane Battier, SF,2003-2004
Memphis Grizzlies,2445000,James Posey, SF,2003-2004
New Orleans Hornets,2400000,Stacey Augmon, SF,2003-2004
Milwaukee Bucks,2373000,Joel Przybilla, C,2003-2004
Minnesota Timberwolves,2350000,Quincy Lewis, SG,2003-2004
Toronto Raptors,2270000,Dion Glover, SG,2003-2004
Indiana Pacers,2264000,Jeff Foster, PF,2003-2004
LA Clippers,2256000,Keyon Dooling, PG,2003-2004
Los Angeles Lakers,2244000,Devean George, SF,2003-2004
Toronto Raptors,2230000,Jerome Moiso, C,2003-2004
Philadelphia 76ers,2225000,Kenny Thomas, PF,2003-2004
Washington Wizards,2211000,Etan Thomas, C,2003-2004
Cleveland Cavaliers,2134000,Mateen Cleaves, PG,2003-2004
Cleveland Cavaliers,2118000,DeSagana Diop, C,2003-2004
Atlanta Hawks,2109000,Jason Collier, C,2003-2004
Boston Celtics,2104000,Jumaine Jones, SF,2003-2004
Houston Rockets,2102000,Scott Padgett, PF,2003-2004
San Antonio Spurs,1995000,Hedo Turkoglu, SF,2003-2004
Denver Nuggets,1948000,Rodney White, SF,2003-2004
Milwaukee Bucks,1898000,Desmond Mason, SF,2003-2004
Phoenix Suns,1850000,Joe Johnson, G,2003-2004
LA Clippers,1805000,Quentin Richardson, SF,2003-2004
Cleveland Cavaliers,1757000,Kedrick Brown, SG,2003-2004
New Orleans Hornets,1735000,Jamaal Magloire, C,2003-2004
Seattle SuperSonics,1670000,Vladimir Radmanovic, SF,2003-2004
Golden State Warriors,1667000,Speedy Claxton, PG,2003-2004
Toronto Raptors,1646000,Morris Peterson, SG,2003-2004
Phoenix Suns,1631000,Donnell Harvey, PF,2003-2004
Utah Jazz,1624000,DeShawn Stevenson, SG,2003-2004
New Jersey Nets,1586000,Richard Jefferson, F,2003-2004
Memphis Grizzlies,1580000,Jake Tsakalidis, C,2003-2004
Dallas Mavericks,1537000,Mamadou N'diaye, C,2003-2004
Golden State Warriors,1507000,Troy Murphy, PF,2003-2004
Minnesota Timberwolves,1474000,Mark Madsen, PF,2003-2004
New Orleans Hornets,1300000,Bryce Drew, PG,2003-2004
Toronto Raptors,1292000,Michael Bradley, PF,2003-2004
New Jersey Nets,1227000,Jason Collins, C,2003-2004
Portland Trail Blazers,1172000,Zach Randolph, PF,2003-2004
New Jersey Nets,995000,Brandon Armstrong, SG,2003-2004
Utah Jazz,956000,Andrei Kirilenko, SF,2003-2004
Philadelphia 76ers,887000,Samuel Dalembert, C,2003-2004
Indiana Pacers,862000,Primoz Brezec, C,2003-2004
Indiana Pacers,861000,Jamaal Tinsley, PG,2003-2004
San Antonio Spurs,856000,Tony Parker, PG,2003-2004
Sacramento Kings,764000,Gerald Wallace, SF,2003-2004
LA Clippers,639000,Predrag Drobnjak, C,2003-2004
Minnesota Timberwolves,587000,Trenton Hassell, SF,2003-2004
Miami Heat,29464000,Shaquille O'Neal, C,2004-2005
Dallas Mavericks,14609000,Michael Finley, SG,2004-2005
Houston Rockets,14487000,Tracy McGrady, SG,2004-2005
Orlando Magic,14487000,Grant Hill, SF,2004-2005
Miami Heat,13440000,Eddie Jones, SG,2004-2005
Los Angeles Lakers,13346000,Brian Grant, PF,2004-2005
Toronto Raptors,13281000,Vince Carter, SF,2004-2005
New York Knicks,12900000,Tim Thomas, PF,2004-2005
Chicago Bulls,1.20E+07,Antonio Davis, PF,2004-2005
San Antonio Spurs,1.20E+07,Glenn Robinson, SF,2004-2005
Portland Trail Blazers,11821000,Nick Van Exel, PG,2004-2005
Houston Rockets,19684000,Dikembe Mutombo, C,2004-2005
Portland Trail Blazers,10937000,Theo Ratliff, C,2004-2005
LA Clippers,9817000,Kerry Kittles, SG,2004-2005
Philadelphia 76ers,9300000,Jamal Mashburn, SF,2004-2005
New York Knicks,8450000,Maurice Taylor, PF,2004-2005
Portland Trail Blazers,8444000,Derek Anderson, SG,2004-2005
Dallas Mavericks,8273000,Alan Henderson, PF,2004-2005
Indiana Pacers,8260000,Austin Croshere, PF,2004-2005
Dallas Mavericks,8105000,Erick Dampier, C,2004-2005
